Platform,Nama Toko,Rating Produk,Produk Terjual,Kategori Seri,Kategori Varian,penyimpanan,Battery Health,Harga,Wilayah Toko,Link Pembelian
Tokopedia,Wonderland Store,5.0,40,iPhone 11 Series,iPhone 11 Pro,256GB,N/A,Rp9.000.000,Surabaya,https://www.tokopedia.com/wonderlandvalen/second-iphone-11-pro-256gb-fullset-original-garansi-apple-inter-space-gray?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Wonderland Store,5.0,60,iPhone 11 Series,iPhone 11 Pro,512GB,N/A,Rp10.000.000,Surabaya,https://www.tokopedia.com/wonderlandvalen/second-ori-iphone-11-pro-512gb-grey-silver-gold-green-fullset-mulus-space-gray?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Wonderland Store,5.0,60,iPhone 11 Series,iPhone 11 Pro Max,64GB,N/A,Rp8.000.000,Surabaya,https://www.tokopedia.com/wonderlandvalen/second-iphone-11-pro-max-64gb-nano-esim-fullset-original-mulus-silver?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch%26whid%3D374709
Tokopedia,Cyrus Cell BEC,5.0,23,iPhone 11 Series,iPhone 11 Pro Max,64GB,85,Rp6.165.000,Bandung,https://www.tokopedia.com/cyruscelluler/iphone-11-pro-max-64gb-256gb-ibox-inter-100-original-fullset-second-like-new-cyruscellbec-1731005973056357919?extParam=ivf%3Dtrue%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Wonderland Store,5.0,80,iPhone 11 Series,iPhone 11 Pro Max,512GB,N/A,Rp9.975.000,Surabaya,https://www.tokopedia.com/wonderlandvalen/second-iphone-11-pro-max-512gb-nano-esim-fullset-original-mulus-silver?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch%26whid%3D374709
Tokopedia,Wonderland Store,5.0,50,iPhone 11 Series,iPhone 11 Pro Max,256GB,N/A,Rp9.945.000,Surabaya,https://www.tokopedia.com/wonderlandvalen/second-ori-iphone-11-pro-max-256gb-nano-esim-grey-silver-gold-green-space-gray?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch%26whid%3D374709
Tokopedia,Mobile Phone Shop BEC,5.0,70,iPhone 11 Series,iPhone 11 Pro,256GB,N/A,Rp5.039.000,Bandung,https://www.tokopedia.com/mobilephonebec/iphone-11-pro-64-256-gb-second-99-like-new-garansi-ibox-inter-gold-256-gb-inter-4407a?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Wonderland Store,5.0,29,iPhone 11 Series,iPhone 11 Pro Max,256GB,N/A,Rp10.000.000,Surabaya,https://www.tokopedia.com/wonderlandvalen/second-iphone-11-pro-max-256gb-nano-esim-fullset-original-mulus-midnight-green?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Cyrus Cell BEC,5.0,100,iPhone 11 Series,iPhone 11,64GB,N/A,Rp4.005.000,Bandung,https://www.tokopedia.com/cyruscelluler/iphone-11-64gb-128gb-256gb-second-like-new-fullset-original-bergaransi-cyruscellbec-1731005973939455519?extParam=ivf%3Dtrue%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Mobile Phone Shop BEC,5.0,28,iPhone 11 Series,iPhone 11 Pro Max,512GB,N/A,Rp5.669.000,Bandung,https://www.tokopedia.com/mobilephonebec/iphone-11-pro-max-64-256-512-gb-second-99-like-new-ibox-inter-silver-64-gb-inter-5f9c5?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
